RA(deg),Dec(deg),V-Mag
267.7611666666666,-35.028888888888886,9.9
267.81962500000003,-34.82061111111111,9.29
267.8570833333333,-34.55994444444444,9.14
267.85341666666665,-34.78433333333333,10.96
267.85791666666665,-35.034388888888884,8.75
267.9284583333333,-34.613527777777776,10.47
267.93087499999996,-34.81044444444444,10.09
267.9519166666667,-34.67077777777777,11.35
267.94895833333334,-35.049861111111106,10.03
267.95962499999996,-34.54816666666667,8.3
267.96595833333333,-34.836194444444445,9.73
267.9703333333333,-34.782444444444444,7.8
267.9685,-34.94472222222222,10.45
267.975625,-34.79708333333333,10.96
267.99325,-34.478500000000004,9.22
268.0217083333333,-34.928444444444445,8.27
268.02841666666666,-34.65563888888889,9.1
268.04124999999993,-34.54527777777778,10.45
268.0384583333333,-34.61761111111111,11.54
268.03766666666667,-34.78033333333333,9.36
268.04124999999993,-34.894527777777775,8.5
268.0435416666666,-35.001805555555556,7.91
268.056375,-34.66880555555555,10.11
268.05691249999995,-34.79918611111111,5.77
268.0654583333333,-34.96991666666667,8.93
268.08175,-34.61808333333333,8.35
268.0834166666666,-34.97441666666667,7.72
268.1148333333333,-34.84966666666667,8.08
268.1297916666666,-34.50377777777778,9.5
268.17133333333334,-34.52930555555555,10.21
268.16962499999994,-34.80419444444444,10.31
268.17033333333336,-34.929361111111106,7.91
268.18704166666663,-34.624833333333335,11.11
268.18720833333333,-34.64222222222222,10.62
268.1904583333333,-34.51225,9.51
268.188,-34.76280555555556,9.71
268.20324999999997,-34.63527777777778,10.32
268.2269166666666,-34.59136111111111,8.74
268.22724999999997,-34.77386111111111,10.8
268.232375,-35.018880555555555,6.34
268.2416666666667,-34.59908333333333,10.26
268.2522083333333,-34.55741666666666,11.25
268.2472916666666,-34.94913888888888,9.29
268.27141666666665,-34.52297222222222,10.98
268.2693333333333,-34.76111111111111,8.95
268.28116666666665,-34.74780555555556,9.19
268.2844583333333,-34.98555555555556,10.55
268.2874583333333,-34.76441666666667,11.07
268.29837499999996,-34.82775,9.26
268.3062083333333,-34.62386111111111,11.59
268.30499999999995,-34.77788888888889,11.48
268.30899999999997,-34.693,10.73
268.31657083333334,-34.62083611111111,7.8
268.3315791666666,-34.73079166666667,6.18
268.33141666666666,-34.92627777777778,10.8
268.3477541666667,-34.89515,5.55
268.34759166666663,-35.01694166666667,7.14
268.35774999999995,-34.60436111111111,9.89
268.36795833333326,-34.89930555555556,9.71
268.37154166666664,-34.691805555555554,7.54
268.37266666666665,-34.741055555555555,10.05
268.376,-34.75972222222222,9.16
268.37812499999995,-34.81625,10.44
268.38287499999996,-34.93930555555555,10.71
268.38612499999994,-34.76683333333333,8.97
268.3877499999999,-34.74988888888889,9.55
268.3877499999999,-34.75394444444444,8.81
268.39529166666665,-34.86533333333333,7.33
268.4033749999999,-34.73683333333334,8.24
268.4051666666667,-34.79677777777778,11.58
268.40616666666665,-34.818361111111116,10.25
268.4107916666666,-34.96980555555556,10.55
268.43149999999997,-34.77133333333333,10.84
268.4339083333333,-34.79439166666666,6.98
268.43429166666664,-34.831611111111116,9.56
268.43741666666665,-34.762277777777776,9.07
268.43704166666663,-34.843500000000006,10.69
268.4386666666666,-34.81483333333333,10.27
268.4458333333333,-34.846361111111115,7.76
268.4515833333333,-34.613083333333336,10.6
268.4667083333333,-34.467777777777776,10.2
268.4640833333333,-34.89469444444445,9.9
268.4782125,-34.75270555555556,6.08
268.48295833333333,-35.04077777777778,11.32
268.49222499999996,-34.83104166666667,6.5
268.4974583333333,-34.509972222222224,8.33
268.51670833333327,-34.61430555555555,10.12
268.5167916666666,-34.70563888888889,9.83
268.5159583333333,-34.734833333333334,8.58
268.52304166666664,-34.534749999999995,11.24
